LSOA11CD,total_area,area_covered
E01000133,159393.82628503544,158994.499527477
E01000134,160302.93635335748,150830.2753899481
E01000135,334093.1340827237,334093.13408272364
E01000136,520184.60611031746,379943.48069937347
E01000137,124274.53514900399,124274.53514900402
E01000138,259100.21444600806,259100.21444600803
E01000139,353173.5013365584,258283.57528712213
E01000140,143176.92302392508,143176.92302392505
E01000141,369418.8904710931,197250.68789726435
E01000142,200450.46399745197,196840.25423502986
E01000143,171385.6382180192,142776.9161099383
E01000144,192115.22883740198,192115.22883740196
E01000145,209834.70126619024,209834.70126619024
E01000146,210239.67832862065,210239.67832862074
E01000147,203094.47571521203,198466.94831446346
E01000148,229677.7227888527,208700.4619218023
E01000150,464626.21039367776,409337.3958794976
E01000151,142818.36917942436,118570.92601094017
E01000152,180545.41793658992,141952.8218089897
E01000153,165883.23251658154,119842.65785454141
E01000154,133196.6449196901,132360.83509973422
E01000155,296108.1987369292,280546.89229794923
E01000156,178311.07420370987,178310.92470520874
E01000157,123580.15058356547,123298.82537873751
E01000158,269336.5544800224,166638.03855836624
E01000159,496148.1022294608,487279.64355095866
E01000160,302271.04910734686,230602.74931425002
E01000161,239128.48212989097,173548.81219585912
E01000162,183533.44272464333,183245.71887891646
E01000163,196826.1147494036,155331.61951623156
E01000164,550730.8701605124,401964.57027481915
E01000165,189345.18801717527,186694.61919542268
E01000166,374771.92012486776,293359.45067594456
E01000167,600141.8453065933,379719.213500972
E01000168,313135.8234970638,313135.8234970638
E01000169,236905.38997291995,236905.38997291983
E01000170,296305.4461549084,296305.4461549082
E01000171,332722.71204205405,297457.6389626347
E01000172,544866.6929415058,309215.3490962271
E01000173,367021.6169238826,240225.83637580895
E01000174,186204.33989183765,183048.87091946974
E01000175,504236.1678906027,298858.0866382723
E01000176,223339.01069950615,183018.22946921538
E01000177,168703.2810236291,146158.66121892375
E01000178,419015.2487210156,241108.26562023032
E01000179,142531.72610074744,137844.05036192696
E01000180,169905.3988290068,162637.1949877385
E01000181,144624.57895853696,143001.01773454863
E01000182,216796.29590817133,148496.97034490583
E01000183,228253.35957806118,222634.52457806419
E01000184,681838.9831333015,175055.41977925616
E01000185,118967.35115282789,98834.53181949834
E01000186,249818.2855814652,248714.74011464184
E01000187,213115.63393680518,213115.63393680518
E01000188,3201215.2053972385,418976.22399688273
E01000189,163478.54702316973,115402.02804883067
E01000190,244750.4790160743,236421.86503099152
E01000191,257927.98332276157,256488.22679914025
E01000192,284469.3698826282,283953.6095253941
E01000193,301292.0234939239,271666.66419846914
E01000194,333017.30713611207,290765.2225789405
E01000195,307168.8938670637,189401.46313966546
E01000196,246177.07120527636,246177.07120527644
E01000197,278966.93473883806,261627.1230227304
E01000198,330679.6999304361,287560.98669115105
E01000199,334368.2772859699,308197.99591114913
E01000200,275262.4107146713,257464.86587205133
E01000201,393230.8627886553,371778.4879983828
E01000202,225843.3273057762,225843.32730577624
E01000203,302748.55375606724,265943.4844945007
E01000204,321794.8989667876,261648.3798546935
E01000205,380200.60376352817,284853.80630023766
E01000206,1322617.5848976327,895922.5181853249
E01000207,344611.1388004322,304333.7417054601
E01000208,407409.53077967936,377466.89982793975
E01000209,400282.3225745406,355283.134714679
E01000210,501408.19183375506,441332.04587450414
E01000211,277000.4879556109,213408.49190963685
E01000212,345708.1461200239,322639.3348700343
E01000213,427504.15745705686,317324.6301270632
E01000214,333427.2367884494,257887.33861736173
E01000215,222880.74993774103,218330.73370851198
